Energy (eV),sigma+(10^-16 cm^2),sigma2+(10^-17 cm^2),sigma3+(10^-19 cm^2)
17,0.017,0,0
20,0.46,0,0
25,1.24,0,0
30,1.84,0,0
35,2.26,0,0
40,2.55,0,0
45,2.66,0.0048,0
50,2.70,0.128,0
55,2.69,0.418,0
60,2.67,0.856,0
65,2.67,1.21,0
70,2.67,1.46,0
75,2.66,1.56,0
80,2.69,1.70,0
85,2.70,1.79,0
90,2.69,1.84,0
95,2.67,1.90,0.51
100,2.64,1.89,1.03
110,2.61,1.91,2.21
120,2.55,1.87,3.23
140,2.45,1.77,4.94
160,2.35,1.65,5.57
180,2.27,1.58,5.68
200,2.18,1.44,5.53
225,2.10,1.31,5.30
250,1.99,1.25,5.23
275,1.87,1.13,5.09
300,1.79,1.08,5.03
350,1.63,0.953,5.99
400,1.51,0.872,6.32
450,1.39,0.759,6.50
500,1.31,0.679,6.97
550,1.23,0.623,7.08
600,1.16,0.575,7.41
650,1.09,0.557,7.19
700,1.03,0.524,7.23
750,0.976,0.496,6.97
800,0.912,0.456,6.96
850,0.901,0.425,7.09
900,0.865,0.419,6.51
950,0.824,0.394,6.51
1000,0.795,0.374,6.57
